Algo,method,size,q,seed,k,Mean,Sdev
part2.RankSelectSpaceEfficient,rank,384000,1500,586478,64,100712.000000,537.681604
part2.RankSelectSpaceEfficient,select,384000,1500,586478,64,1470494.500000,10635.902966
part2.RankSelectNaive,rank,768000,1500,586478,0,267527338.000000,1590447.234936
part2.RankSelectNaive,select,768000,1500,586478,0,805417199.500000,2064142.965868
part2.RankSelectLookUp,rank,768000,1500,586478,0,7549.500000,2325.130298
part2.RankSelectLookUp,select,768000,1500,586478,0,106934.500000,14064.630422
part2.RankSelectSpaceEfficient,rank,768000,1500,586478,3,24530.500000,9895.144728
part2.RankSelectSpaceEfficient,select,768000,1500,586478,3,269690.000000,20660.729141
part2.RankSelectSpaceEfficient,rank,768000,1500,586478,10,37336.500000,11820.109674
part2.RankSelectSpaceEfficient,select,768000,1500,586478,10,387767.000000,24572.368986
part2.RankSelectSpaceEfficient,rank,768000,1500,586478,64,99538.500000,11596.363481
part2.RankSelectSpaceEfficient,select,768000,1500,586478,64,1516838.000000,20527.969790
